Provinsi,Kabupaten/Kota,Luas Wilayah (km2),Jumlah Penduduk (ribu jiwa),Indeks Pembangunan Literasi Masyarakat,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak,Realisasi Jumlah Kepala Keluarga Penerima Manfaat Bantuan Sosial,Jumlah Anggaran Bantuan Keluarga (rupiah),Rata-rata Pengeluaran per Kapita Sebulan Makanan dan Bukan Makanan di Daerah Perkotaan dan Perdesaan (rupiah),Tingkat Penyerapan Pendapatan (%),Tingkat Penyerapan Belanja (%),Rasio Efektivitas Pendapatan Asli Daerah (PAD) (%),Rasio Efektivitas Penerimaan Pajak (%),Rasio Belanja Terhadap Pendapatan (%),Rasio Belanja Pendidikan (%),Rasio Belanja Kesehatan (%),Rasio Belanja Ekonomi (%),Rasio Belanja Perumahan (%),Umur Harapan Hidup (tahun),Rata-rata Lama Sekolah (tahun),Indeks Pembangunan Manusia (%),Indeks Pembangunan Gender (%),Tingkat Pengangguran Terbuka (%),Jumlah Guru SMA/SMK,Jumlah Siswa SMA/SMK,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Jumlah Desa yang memiliki Sarana Kesehatan,Jumlah Tenaga Kesehatan,Persentase Penduduk Miskin (%)
Aceh,Simeulue,1821.75,98.6,45.43,76.51,82.79,37059,22235400000,940943,97.04,97.81,89.67,62.61,105.9,32.05,10.41,7.8,0.88,69.69,9.89,70.95,79.78,5.5,660,4512,3151,96,613,17.69
Aceh,Aceh Singkil,1852.82,135.7,58.41,63.22,79.6,47653,28591800000,1139540,100.26,101.89,93.26,73.24,102.58,28.49,18.52,12.82,1.85,69.96,8.72,71.76,85.51,6.44,499,4651,3441,74,615,19.06
Aceh,Aceh Selatan,4175.37,242.0,47.87,77.96,85.87,92590,55554000000,990184,94.44,90.08,76.34,92.48,99.39,24.74,23.53,11.43,2.19,70.49,8.92,71.82,92.24,4.56,1225,8323,7466,135,810,12.02
Aceh,Aceh Tenggara,4179.12,234.4,47.5,64.01,91.4,61410,36846000000,1063173,97.85,94.11,95.34,76.6,99.96,27.02,16.96,9.61,1.42,72.75,10.1,73.59,93.28,4.79,1040,9130,6738,86,872,11.99
Aceh,Aceh Timur,5432.63,443.6,44.47,73.59,84.43,157848,94708800000,1080694,101.29,102.14,157.11,95.38,100.84,27.32,20.92,7.34,1.75,72.24,8.48,71.29,87.26,7.75,1366,12332,14935,147,1339,13.26
Aceh,Aceh Tengah,4521.7,226.7,81.65,86.34,88.27,64051,38430600000,1346480,98.35,94.52,104.96,80.61,98.16,24.29,24.09,9.72,2.19,73.04,10.03,77.27,97.89,4.21,818,7059,10721,85,1187,14.27
Aceh,Aceh Barat,2818.17,206.8,55.37,91.09,96.52,62281,37368000000,1514401,113.19,101.74,112.32,106.13,97.77,20.74,18.14,19.53,2.67,72.03,9.99,75.45,86.67,5.58,877,7283,14053,92,1067,17.6
Aceh,Aceh Besar,2882.83,428.3,76.92,90.3,90.68,144763,86857800000,1305397,100.12,99.52,97.98,92.19,99.91,22.15,16.04,9.35,2.18,73.24,10.37,76.57,95.37,7.93,1526,13240,18412,166,1035,13.21
Aceh,Pidie,3133.93,452.5,68.67,63.88,87.57,212538,127522800000,1175693,102.31,99.11,120.49,158.14,99.01,22.28,23.44,7.71,1.84,69.99,9.04,73.6,93.98,5.74,1559,14429,14549,148,2684,18.59
Aceh,Bireuen,1793.27,459.1,46.61,88.26,90.06,178165,106899000000,1138585,100.91,100.93,120.2,93.89,103.05,26.29,21.59,8.07,1.42,73.82,9.59,75.39,95.09,3.93,1684,15425,18381,161,1756,12.1
